Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,TRAFFIC - MV COLLISION INVESTIGATION,5/11/2022 8:35,5/11/2022 8:55,WEST,QUEEN,Q1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/11/2022 8:31,5/11/2022 8:31,NORTH,BOY,B3
REPORT WRITTEN (NO ARREST),911,2,ORDER - VIOLATION OF COURT ORDER (NON DV),DISTURBANCE - OTHER,5/11/2022 8:27,5/11/2022 8:45,EAST,EDWARD,E1
ASSISTANCE RENDERED,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),DISTURBANCE - OTHER,5/11/2022 8:21,5/11/2022 8:27,NORTH,UNION,U2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - COMMERCIAL BURGLARY,BURGLARY - NON RESIDENTIAL/COMMERCIAL,5/11/2022 8:12,5/11/2022 8:18,NORTH,JOHN,J3
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/11/2022 8:09,1/1/1900 0:00,NORTH,JOHN,J2
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 7:50,5/11/2022 8:10,EAST,EDWARD,E3
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/11/2022 7:48,5/11/2022 8:04,WEST,KING,K3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",5/11/2022 7:11,5/11/2022 7:33,SOUTH,OCEAN,O3
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/11/2022 7:10,5/11/2022 8:40,WEST,QUEEN,Q1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - HARASSMENT,"ASSAULTS - HARASSMENT, THREATS",5/11/2022 7:09,5/11/2022 7:15,EAST,CHARLIE,C2
RESPONDING UNIT(S) CANCELLED BY RADIO,911,1,DOWN - CHECK FOR PERSON DOWN,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 6:58,1/1/1900 0:00,EAST,EDWARD,E3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,SERVICE - WELFARE CHECK,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 6:49,5/11/2022 7:30,WEST,QUEEN,Q1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/11/2022 6:39,1/1/1900 0:00,NORTH,UNION,U2
REPORT WRITTEN (NO ARREST),911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,5/11/2022 6:28,5/11/2022 6:32,NORTH,LINCOLN,L3
REPORT WRITTEN (NO ARREST),911,3,PEACE-STANDBY TO ASSURE (NO COURT ORDR SVC),"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",5/11/2022 5:38,5/11/2022 9:24,NORTH,NORA,N1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 5:29,5/11/2022 5:34,NORTH,BOY,B1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/11/2022 5:23,5/11/2022 5:33,SOUTH,OCEAN,O2
ASSISTANCE RENDERED,911,1,DOWN - CHECK FOR PERSON DOWN,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 4:37,5/11/2022 4:45,SOUTHWEST,WILLIAM,W2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"PROPERTY - FOUND GUN, SHELLCASINGS",PROPERTY - FOUND PROPERTY,5/11/2022 4:34,5/11/2022 4:41,NORTH,NORA,N2
ORAL WARNING GIVEN,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),PROWLER - TRESPASS,5/11/2022 4:09,5/11/2022 4:19,SOUTH,ROBERT,R1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),2,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/11/2022 3:52,5/11/2022 4:04,WEST,KING,K3
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 3:49,5/11/2022 3:49,WEST,MARY,M3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,ASSIST OTHER AGENCY - ROUTINE SERVICE,ASSIST OTHER AGENCY - FEDERAL AGENCY,5/11/2022 3:33,5/11/2022 3:59,WEST,QUEEN,Q1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 3:30,5/11/2022 3:52,EAST,EDWARD,E1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",PROWLER - TRESPASS,5/11/2022 3:23,5/11/2022 3:43,WEST,KING,K1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/11/2022 3:18,5/11/2022 4:15,NORTH,NORA,N2
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 3:13,5/11/2022 3:38,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",DISTURBANCE - OTHER,5/11/2022 2:46,5/11/2022 3:41,WEST,QUEEN,Q3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",5/11/2022 2:42,5/11/2022 2:47,WEST,DAVID,D3
OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,5/11/2022 2:35,5/11/2022 2:35,NORTH,JOHN,J3
-,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",5/11/2022 2:02,5/11/2022 2:15,NORTH,UNION,U1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 1:50,5/11/2022 2:30,NORTH,NORA,N3
-,911,3,SERVICE - WELFARE CHECK,SERVICE - WELFARE CHECK,5/11/2022 1:47,5/11/2022 1:53,EAST,EDWARD,E2
-,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,5/11/2022 1:24,5/11/2022 1:24,WEST,MARY,M3
-,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",5/11/2022 1:15,5/11/2022 2:34,WEST,QUEEN,Q3
REPORT WRITTEN (NO ARREST),911,2,BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURG - COMM BURGLARY (INCLUDES SCHOOLS),5/11/2022 0:57,5/11/2022 4:07,WEST,DAVID,D1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/11/2022 0:45,5/11/2022 0:54,EAST,EDWARD,E1
-,"TELEPHONE OTHER, NOT 911",2,"ALARM - DURESS/PANIC,TAXI/CAR/PRSN - NOT DV","ALARM - DURESS/PANIC,TAXI/CAR/PRSN - NOT DV",5/11/2022 0:28,5/11/2022 1:09,NORTH,LINCOLN,L1
-,911,1,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",5/11/2022 0:22,5/11/2022 0:31,WEST,MARY,M2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,"NOISE - DISTURBANCE (PARTY, ETC)",DISTURBANCE - NOISE,5/11/2022 0:15,5/11/2022 0:30,WEST,DAVID,D3
ASSISTANCE RENDERED,911,1,OVERDOSE - DRUG RELATED CASUALTY,ASSIST OTHER AGENCY - CITY AGENCY,5/11/2022 0:13,5/11/2022 0:24,NORTH,LINCOLN,L2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 0:13,5/11/2022 0:19,SOUTH,SAM,S2
FOLLOW-UP REPORT MADE,ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),5/10/2022 23:54,5/10/2022 23:54,SOUTH,ROBERT,R2
-,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,5/10/2022 23:54,5/10/2022 23:54,WEST,MARY,M2
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - PERSON SHOT OR SHOT AT,ASSAULTS - FIREARM INVOLVED,5/10/2022 23:21,5/10/2022 23:23,WEST,KING,K3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,DISTURBANCE - NOISE,5/10/2022 22:44,5/10/2022 22:51,WEST,QUEEN,Q2
ASSISTANCE RENDERED,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/10/2022 22:35,5/10/2022 22:35,WEST,MARY,M3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 22:29,1/1/1900 0:00,EAST,EDWARD,E1
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 22:27,5/11/2022 3:49,SOUTHWEST,FRANK,F3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/10/2022 22:24,1/1/1900 0:00,NORTH,LINCOLN,L2
REPORT WRITTEN (NO ARREST),911,1,OVERDOSE - DRUG RELATED CASUALTY,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/10/2022 22:12,5/10/2022 22:13,WEST,MARY,M3
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 22:09,5/10/2022 22:17,WEST,DAVID,D3
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 21:59,5/10/2022 22:01,NORTH,BOY,B1
-,911,2,TRESPASS,TRESPASS,5/10/2022 21:59,5/10/2022 22:11,WEST,KING,K3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,DISTURBANCE - OTHER,5/10/2022 21:50,1/1/1900 0:00,NORTH,NORA,N2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"LEWD -  (EXPOSING, FLASHING)",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/10/2022 21:43,5/10/2022 21:44,WEST,DAVID,D2
REPORT WRITTEN (NO ARREST),911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 21:35,5/10/2022 22:40,SOUTH,SAM,S2
PRIORITY CALL HANDLING,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/10/2022 21:32,5/10/2022 22:50,WEST,QUEEN,Q3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,"HARAS - NO BIAS, THREATS OR MALICIOUSNESS","ASSAULTS - HARASSMENT, THREATS",5/10/2022 21:24,5/10/2022 22:35,NORTH,NORA,N2
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,5/10/2022 21:23,5/10/2022 21:23,WEST,MARY,M2
-,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,5/10/2022 21:20,5/10/2022 21:20,SOUTH,ROBERT,R3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,5/10/2022 21:20,1/1/1900 0:00,WEST,MARY,M1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS - DRUG TRAFFIC LOITERING,5/10/2022 21:17,5/10/2022 22:24,NORTH,LINCOLN,L1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/10/2022 21:17,5/10/2022 22:24,SOUTH,SAM,S2
-,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY","PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",5/10/2022 21:11,5/10/2022 21:11,SOUTHWEST,FRANK,F2
REPORT WRITTEN (NO ARREST),911,1,DIST - IP/JO - DV DIST - NO ASLT,"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",5/10/2022 20:51,5/10/2022 20:59,SOUTHWEST,WILLIAM,W3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,SHOPLIFT - THEFT,THEFT - ALL OTHER,5/10/2022 20:44,5/10/2022 21:39,WEST,DAVID,D1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,1,FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCE - FIGHT,5/10/2022 20:38,5/10/2022 20:54,NORTH,BOY,B3
ASSISTANCE RENDERED,911,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 20:12,5/10/2022 22:30,NORTH,NORA,N3
REPORT WRITTEN (NO ARREST),911,3,ROBBERY (INCLUDES STRONG ARM),ROBBERY - STRONG ARM,5/10/2022 20:10,5/10/2022 20:21,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,PREMISE CHECKS - CRIME PREVENTION,5/10/2022 20:06,5/10/2022 20:06,SOUTHWEST,FRANK,F2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 20:00,5/10/2022 20:04,EAST,EDWARD,E1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,THEFT - CAR PROWL,5/10/2022 19:55,5/10/2022 20:39,WEST,KING,K1
-,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",5/10/2022 19:52,5/10/2022 19:57,SOUTHWEST,WILLIAM,W1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,ROBBERY - IP/JO (INCLUDES STRONG ARM),ROBBERY - STRONG ARM,5/10/2022 19:52,5/10/2022 20:01,WEST,DAVID,D1
NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,5/10/2022 19:47,5/10/2022 19:54,WEST,QUEEN,Q3
PRIORITY CALL HANDLING,911,2,TRESPASS,PROWLER - TRESPASS,5/10/2022 19:41,5/10/2022 21:38,WEST,KING,K1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,5/10/2022 19:29,5/10/2022 19:48,NORTH,LINCOLN,L3
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - DV,DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY),5/10/2022 19:27,5/10/2022 19:41,WEST,DAVID,D1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,THEFT - ALL OTHER,5/10/2022 19:18,5/10/2022 19:40,EAST,EDWARD,E3
REPORT WRITTEN (NO ARREST),ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),5/10/2022 18:57,5/10/2022 18:57,NORTH,NORA,N2
ASSISTANCE RENDERED,911,2,TRESPASS,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/10/2022 18:56,5/10/2022 20:54,NORTH,LINCOLN,L3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,TRAFFIC - BLOCKING ROADWAY,TRAFFIC - ASSIST MOTORIST,5/10/2022 18:54,1/1/1900 0:00,SOUTH,ROBERT,R1
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/10/2022 18:40,5/10/2022 18:46,WEST,MARY,M1
ASSISTANCE RENDERED,911,2,"MVC - NON INJURY, BLOCKING",TRAFFIC - MV COLLISION INVESTIGATION,5/10/2022 18:02,5/10/2022 18:11,EAST,GEORGE,G3
REPORT WRITTEN (NO ARREST),911,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",TRAFFIC - MV COLLISION INVESTIGATION,5/10/2022 17:58,5/10/2022 18:08,SOUTH,SAM,S1
REPORT WRITTEN (NO ARREST),911,3,MISSING - ADULT,PERSON - MISSING PERSON,5/10/2022 17:55,5/10/2022 21:06,NORTH,LINCOLN,L1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),911,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",TRAFFIC - MV COLLISION INVESTIGATION,5/10/2022 17:47,5/10/2022 17:53,WEST,KING,K1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - HARASSMENT,"ASSAULTS - HARASSMENT, THREATS",5/10/2022 17:41,5/10/2022 18:22,NORTH,BOY,B3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",5/10/2022 17:32,5/10/2022 17:39,EAST,GEORGE,G2
-,911,1,ORDER - IP - VIOLATION OF DV COURT ORDER,ORDER - IP - VIOLATION OF DV COURT ORDER,5/10/2022 17:31,5/10/2022 17:42,NORTH,JOHN,J2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,5/10/2022 17:30,5/10/2022 20:19,SOUTH,ROBERT,R1
REPORT WRITTEN (NO ARREST),911,3,ASLT - DV,DV - ENFORCE COURT ORDER (ARREST MANDATED),5/10/2022 17:28,5/10/2022 20:20,NORTH,JOHN,J2
REPORT WRITTEN (NO ARREST),ONVIEW,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),"ASSAULTS, OTHER",5/10/2022 17:27,5/10/2022 17:27,NORTH,LINCOLN,L2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"LEWD -  (EXPOSING, FLASHING)",--SEX OFFENSES (NON-RAPE) - LEWD CONDUCT,5/10/2022 17:22,5/10/2022 18:55,WEST,DAVID,D3
REPORT WRITTEN (NO ARREST),911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,5/10/2022 17:11,5/10/2022 17:18,NORTH,BOY,B2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - COMMERCIAL BURGLARY,BURGLARY - NON RESIDENTIAL/COMMERCIAL,5/10/2022 17:04,5/10/2022 17:16,SOUTH,OCEAN,O3
PHYSICAL ARREST MADE,911,1,ASLT - IP/JO - DV,DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY),5/10/2022 16:57,5/10/2022 17:01,NORTH,LINCOLN,L3
ORAL WARNING GIVEN,ONVIEW,2,TRESPASS,PROWLER - TRESPASS,5/10/2022 16:54,5/10/2022 16:54,WEST,MARY,M3
ASSISTANCE RENDERED,ONVIEW,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/10/2022 16:51,5/10/2022 16:51,EAST,GEORGE,G1
REPORT WRITTEN (NO ARREST),911,1,"AUTO THEFT-IP/JO - VEHICLE, PLATES, TABS",AUTOMOBILES - AUTO THEFT,5/10/2022 16:46,5/10/2022 17:09,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/10/2022 16:36,5/10/2022 16:36,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,911,2,TRESPASS,MISCHIEF OR NUISANCE - GENERAL,5/10/2022 16:36,5/10/2022 18:21,NORTH,LINCOLN,L1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,TRESPASS,DISTURBANCE - OTHER,5/10/2022 16:35,5/10/2022 16:58,WEST,KING,K3
FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),5/10/2022 16:34,5/10/2022 18:34,SOUTH,OCEAN,O1
FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),5/10/2022 16:17,5/10/2022 17:21,SOUTH,OCEAN,O1
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/10/2022 16:16,5/10/2022 16:38,WEST,MARY,M2
PHYSICAL ARREST MADE,"TELEPHONE OTHER, NOT 911",2,WARRANT - MISD WARRANT PICKUP,THEFT - SHOPLIFT,5/10/2022 16:03,5/10/2022 16:22,WEST,MARY,M2
PHYSICAL ARREST MADE,911,2,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - CAR PROWL,5/10/2022 15:55,5/10/2022 16:00,NORTH,UNION,U2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)",DISTURBANCE - OTHER,5/10/2022 15:43,5/10/2022 16:21,EAST,EDWARD,E2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/10/2022 15:40,5/10/2022 16:46,EAST,GEORGE,G2
ASSISTANCE RENDERED,911,1,"CHILD - IP/JO - ABAND, ABUSE, MOLEST, NEGLECT",ASSIST OTHER AGENCY - CITY AGENCY,5/10/2022 15:29,5/10/2022 15:40,SOUTH,SAM,S2
ASSISTANCE RENDERED,911,2,SERVICE - WELFARE CHECK,--SEX OFFENSES (NON-RAPE) - LEWD CONDUCT,5/10/2022 15:25,5/10/2022 15:56,WEST,QUEEN,Q3
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/10/2022 15:22,5/10/2022 15:40,WEST,QUEEN,Q2
REPORT WRITTEN (NO ARREST),911,2,BURG - RES (INCL UNOCC STRUCTURES ON PROP),"BURGLARY - RESIDENTIAL, UNOCCUPIED",5/10/2022 15:16,5/10/2022 16:33,NORTH,LINCOLN,L3
ASSISTANCE RENDERED,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/10/2022 14:53,5/10/2022 14:56,EAST,CHARLIE,C1
ASSISTANCE RENDERED,911,2,"MISSING - (ALZHEIMER, ENDANGERED, ELDERLY)",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 14:52,1/1/1900 0:00,EAST,EDWARD,E1
ASSISTANCE RENDERED,911,1,DOWN - CHECK FOR PERSON DOWN,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/10/2022 14:49,5/10/2022 14:57,NORTH,NORA,N2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,NUISANCE - MISCHIEF,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 14:47,5/10/2022 16:30,EAST,GEORGE,G1
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/10/2022 14:43,5/10/2022 15:08,NORTH,NORA,N2
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,ASSIGNED DUTY - DETAIL BY SUPERVISOR,5/10/2022 14:31,5/10/2022 14:31,NORTH,NORA,N3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,TRAFFIC - MOVING VIOLATION,TRAFFIC - MV COLLISION INVESTIGATION,5/10/2022 14:12,5/10/2022 15:29,WEST,DAVID,D2
REPORT WRITTEN (NO ARREST),911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,5/10/2022 14:06,5/10/2022 14:15,NORTH,NORA,N2
ASSISTANCE RENDERED,ONVIEW,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/10/2022 14:05,5/10/2022 14:05,EAST,EDWARD,E3
